"","sci_name","Group"
"1","Acanthochelys macrocephala","Reptile"
"2","Acanthochelys pallidipectoris","Reptile"
"3","Acrochordus arafurae","Reptile"
"4","Acrochordus granulatus","Reptile"
"5","Acrochordus javanicus","Reptile"
"6","Adelophis copei","Reptile"
"7","Afronatrix anoscopus","Reptile"
"8","Agkistrodon piscivorus","Reptile"
"9","Ahaetulla fronticincta","Reptile"
"10","Aipysurus eydouxii","Reptile"
"11","Alligator mississippiensis","Reptile"
"12","Alligator sinensis","Reptile"
"13","Amphiesma stolatum","Reptile"
"14","Amphiglossus astrolabi","Reptile"
"15","Amphiglossus reticulatus","Reptile"
"16","Amplorhinus multimaculatus","Reptile"
"17","Anilius scytale","Reptile"
"18","Anolis aquaticus","Reptile"
"19","Anolis barkeri","Reptile"
"20","Anolis eugenegrahami","Reptile"
"21","Anolis lionotus","Reptile"
"22","Anolis macrolepis","Reptile"
"23","Anolis maculigula","Reptile"
"24","Anolis poecilopus","Reptile"
"25","Anolis rivalis","Reptile"
"26","Anolis vermiculatus","Reptile"
"27","Apalone spinifera","Reptile"
"28","Atretium schistosum","Reptile"
"29","Basiliscus galeritus","Reptile"
"30","Basiliscus vittatus","Reptile"
"31","Batagur affinis","Reptile"
"32","Batagur baska","Reptile"
"33","Batagur borneoensis","Reptile"
"34","Batagur dhongoka","Reptile"
"35","Batagur kachuga","Reptile"
"36","Batagur trivittata","Reptile"
"37","Bitia hydroides","Reptile"
"38","Boaedon upembae","Reptile"
"39","Bothrophthalmus lineatus","Reptile"
"40","Buhoma depressiceps","Reptile"
"41","Bungarus caeruleus","Reptile"
"42","Bungarus multicinctus","Reptile"
"43","Bungarus slowinskii","Reptile"
"44","Bungarus wanghaotingi","Reptile"
"45","Caiman crocodilus","Reptile"
"46","Caiman latirostris","Reptile"
"47","Caiman yacare","Reptile"
"48","Cantoria violacea","Reptile"
"49","Carettochelys insculpta","Reptile"
"50","Carinascincus greeni","Reptile"
"51","Centrosaura apodema","Reptile"
"52","Cerberus australis","Reptile"
"53","Cerberus rynchops","Reptile"
"54","Chelodina mccordi","Reptile"
"55","Chelodina parkeri","Reptile"
"56","Chelodina pritchardi","Reptile"
"57","Chitra chitra","Reptile"
"58","Chitra vandijki","Reptile"
"59","Clonophis kirtlandii","Reptile"
"60","Cnemaspis phuketensis","Reptile"
"61","Compsophis boulengeri","Reptile"
"62","Compsophis laphystius","Reptile"
"63","Coniophanes bipunctatus","Reptile"
"64","Coniophanes quinquevittatus","Reptile"
"65","Cophoscincopus durus","Reptile"
"66","Cophoscincopus greeri","Reptile"
"67","Cophoscincopus simulans","Reptile"
"68","Crocodilurus amazonicus","Reptile"
"69","Crocodylus acutus","Reptile"
"70","Crocodylus intermedius","Reptile"
"71","Crocodylus johnstoni","Reptile"
"72","Crocodylus mindorensis","Reptile"
"73","Crocodylus moreletii","Reptile"
"74","Crocodylus niloticus","Reptile"
"75","Crocodylus novaeguineae","Reptile"
"76","Crocodylus palustris","Reptile"
"77","Crocodylus porosus","Reptile"
"78","Crocodylus rhombifer","Reptile"
"79","Crocodylus siamensis","Reptile"
"80","Crotaphopeltis barotseensis","Reptile"
"81","Crotaphopeltis braestrupi","Reptile"
"82","Crotaphopeltis degeni","Reptile"
"83","Crotaphopeltis hotamboeia","Reptile"
"84","Cuora amboinensis","Reptile"
"85","Cuora mouhotii","Reptile"
"86","Cuora trifasciata","Reptile"
"87","Cyclanorbis elegans","Reptile"
"88","Cyclanorbis senegalensis","Reptile"
"89","Cyclemys atripons","Reptile"
"90","Cyclemys dentata","Reptile"
"91","Cyclemys enigmatica","Reptile"
"92","Cyclemys fusca","Reptile"
"93","Cyclemys gemeli","Reptile"
"94","Cyclemys oldhamii","Reptile"
"95","Cyclemys pulchristriata","Reptile"
"96","Cycloderma aubryi","Reptile"
"97","Cycloderma frenatum","Reptile"
"98","Cylindrophis ruffus","Reptile"
"99","Dieurostus dussumieri","Reptile"
"100","Dipsadoboa underwoodi","Reptile"
"101","Dogania subplana","Reptile"
"102","Dracaena guianensis","Reptile"
"103","Dromicodryas bernieri","Reptile"
"104","Dromicodryas quadrilineatus","Reptile"
"105","Dryophylax chaquensis","Reptile"
"106","Dryophylax gambotensis","Reptile"
"107","Echinosaura brachycephala","Reptile"
"108","Echinosaura keyi","Reptile"
"109","Echinosaura orcesi","Reptile"
"110","Elseya rhodini","Reptile"
"111","Emydoidea blandingii","Reptile"
"112","Enhydris enhydris","Reptile"
"113","Enhydris longicauda","Reptile"
"114","Enhydris subtaeniata","Reptile"
"115","Eremiascincus douglasi","Reptile"
"116","Erpeton tentaculatum","Reptile"
"117","Erythrolamprus breviceps","Reptile"
"118","Erythrolamprus epinephelus","Reptile"
"119","Erythrolamprus ingeri","Reptile"
"120","Erythrolamprus jaegeri","Reptile"
"121","Erythrolamprus maryellenae","Reptile"
"122","Erythrolamprus melanotus","Reptile"
"123","Erythrolamprus miliaris","Reptile"
"124","Erythrolamprus reginae","Reptile"
"125","Erythrolamprus taeniogaster","Reptile"
"126","Erythrolamprus torrenicola","Reptile"
"127","Eulamprus kosciuskoi","Reptile"
"128","Eulamprus leuraensis","Reptile"
