ID,min_year,max_year
643,1983,1997
647,1987,1997
648,1986,1997
649,1989,1998
650,1987,1997
651,1987,1997
674,1992,2002
687,1959,1984
688,1986,1990
691,1989,1999
692,1967,1984
693,1990,1995
695,1962,1984
696,1962,1984
697,1962,1984
701,1962,1984
702,1962,1984
703,1962,1984
704,1962,1984
705,1962,1984
706,1962,1984
707,1962,1984
708,1962,1984
709,1962,1984
710,1962,1984
711,1962,1984
712,1962,1984
713,1962,1984
714,1962,1984
715,1962,1984
716,1962,1984
717,1962,1984
718,1962,1984
719,1962,1984
720,1962,1984
811,1988,1994
820,1978,1985
821,1968,1988
822,1950,1983
823,1968,1988
824,1967,1987
825,1967,1987
826,1983,2018
827,1993,1997
832,1973,2004
833,1974,1984
839,1995,2000
840,1980,1987
848,1950,1993
849,1950,1993
850,1950,1993
851,1950,1993
852,1950,1994
853,1950,1993
854,1950,1994
855,1966,1993
856,1950,1994
857,1951,1995
858,1950,1994
859,1950,1992
860,1966,1994
861,1950,1993
862,1951,1995
863,1952,1995
864,1968,1993
865,1968,1993
866,1951,1995
867,1969,1991
868,1951,1995
869,1951,1994
870,1951,1995
871,1951,1995
879,1982,2018
880,1968,1991
881,1971,1995
882,1979,1995
883,1982,1995
884,1983,1994
903,1982,1992
904,1986,1990
905,1991,1995
906,1986,1991
907,1985,1991
908,1985,1991
909,1991,1995
910,1979,2002
911,1978,1980
912,1978,1980
914,1978,1980
915,1979,1995
916,1982,1988
917,1991,1995
918,1979,1994
927,1991,1995
928,1982,1986
929,1982,1986
930,1982,1986
931,1974,1991
932,1988,2008
933,1986,1990
934,1986,1990
935,1986,1990
936,1985,1990
937,1979,1994
938,1975,1990
939,1975,1990
940,1975,1990
941,1975,1990
944,1979,1995
945,1986,1990
946,1986,1990
947,1986,1990
948,1979,1995
949,1986,1990
950,1986,1990
951,1978,1993
952,1986,1990
953,1991,1995
954,1979,1995
958,1991,1995
959,1979,1995
960,1979,1995
961,1986,1990
962,1986,1990
963,1979,1995
964,1986,1988
965,1986,1988
966,1991,1995
967,1986,1989
973,1977,1979
974,1991,1994
975,1991,1995
977,1977,1982
978,1977,1982
979,1974,1979
980,1976,1982
981,1975,1982
982,1975,1982
983,1975,1982
984,1975,1982
985,1986,1990
986,1979,1995
987,1991,1996
988,1986,1990
989,1986,1990
990,1979,1995
1075,1968,1997
1076,1970,1999
1085,1980,1997
1087,1985,1995
1088,1971,1985
1106,1980,1990
1107,1962,1984
1108,1970,1984
1132,1964,1978
1135,1967,1990
1146,1990,1999
1147,1980,1990
1148,1983,1989
1149,1981,1986
1150,1981,1986
1151,1981,1986
1152,1981,1986
1153,1982,1986
1154,1981,1984
1158,1975,1997
1159,1975,1995
1162,1970,1997
1163,1970,1995
1353,1976,1987
1354,1976,1986
1355,1988,1993
1359,1973,1983
1360,1973,1983
1362,1971,1990
1363,1979,1992
1365,1986,1998
2332,1982,2002
2333,1979,2002
2335,1998,2002
2336,1976,1997
2337,1978,2003
2338,1988,1994
2339,1970,2003
2344,1988,1994
2347,1976,1997
2348,1978,2003
2401,1987,2003
2402,1997,2003
2403,1992,2004
2406,1986,2000
2407,1986,2003
2410,1995,2003
2411,1991,2003
2412,1991,2003
2413,1994,2003
2414,1995,2003
2419,1992,2003
2422,1981,2003
2424,1985,2003
2426,1991,2003
2428,1997,2003
2437,1986,2003
2438,1995,2003
2440,1990,2003
2443,1987,1995
2448,1988,2001
2449,1987,2003
2452,1991,2003
2453,1991,2003
2454,1994,2003
2455,1995,2003
2460,1992,2003
2462,1981,2003
2463,1985,2003
2464,1991,2003
2466,1997,2003
2474,1985,1990
2476,1987,1995
3506,1975,1983
3508,1975,1983
3511,1975,1983
4387,1995,1998
4388,1995,1998
4389,1995,1998
4390,1995,1999
4391,1995,1999
4392,1996,1998
4393,1996,1998
4454,1999,2006
4455,1999,2006
4456,1999,2006
4464,1998,2005
4465,1998,2005
4466,1998,2005
4470,1999,2005
4472,1999,2005
4488,1987,2010
4490,1986,2010
4528,1988,1994
4539,1987,2017
4561,1983,1984
4564,1970,1971
4567,1993,1997
4568,1993,1997
4569,1993,1997
4570,1993,1997
4571,1984,1998
4572,1984,1998
4573,1984,1998
4574,1984,1998
4576,1954,1982
4581,1950,1979
4586,1965,1981
4884,1965,1984
4885,1965,1982
5112,1979,1990
5113,1965,1992
5193,1990,2001
5194,1979,1995
5195,1981,1995
5196,1980,1995
5197,1979,1995
5198,1979,1995
5199,1979,1995
5200,1980,1995
5201,1982,1995
5202,1982,1995
5203,1982,1995
5204,1983,1994
5205,1984,1994
5206,1984,1994
5207,1983,1995
5208,1983,1994
5209,1983,1994
5210,1983,1994
5211,1983,1994
5212,1983,1995
5213,1983,1995
5214,1983,1994
5215,1983,1994
5216,1983,1994
5217,1983,1994
5218,1983,1994
5329,1987,2003
5339,1983,1989
5340,1990,2003
5341,1992,2003
5367,1990,1992
5368,1990,1992
5518,1964,1982
5521,1967,1982
5523,1964,1982
5525,1964,1982
5530,1962,1982
5531,1970,1982
5547,1983,1992
5554,1983,1992
5570,1991,1993
5713,1992,2017
5718,2001,2006
5727,1992,1996
5740,1991,2009
5819,1963,1989
5907,2003,2004
5925,1974,2003
5933,2003,2008
6115,1966,1975
6116,1966,1975
6167,1977,1981
6180,1979,1981
6181,1987,1989
6182,1987,1989
6183,1987,1989
6184,1987,1989
6186,1988,1991
6203,1991,2002
6204,1991,2002
6215,1989,1991
