"ID","Binomial","Class","Latitude","Longitude","FW_realm","FW_biome","Units","n_datapoints","mean","median","min","max","sd","min_year","max_year","duration"
643,"Philoria_frosti","Amphibia",-37.81667,146.3,"Australasia","Temperate coastal rivers","Number of calling males",14,-0.179482937874422,-0.15459845179262,-0.964692204103521,0.208615882354935,0.266658899845749,1983,1997,14
647,"Pseudophryne_corroboree","Amphibia",-36.5,148.333333,"Australasia","Temperate coastal rivers","Number of calling males",10,-0.0305876481590974,-0.0305876481590972,-0.0305876481590976,-0.0305876481590972,2.07832453693558e-16,1987,1997,10
648,"Pseudophryne_pengilleyi","Amphibia",-35.51667,148.78333,"Australasia","Temperate floodplain rivers and wetlands","Number of calling males",11,-0.134585185971988,-0.124445431911449,-0.307501399141615,0.0460626759520837,0.137977298814838,1986,1997,11
649,"Pseudophryne_pengilleyi","Amphibia",-35.3,148.8,"Australasia","Temperate floodplain rivers and wetlands","Number of calling males",9,-0.114440358153049,0,-1.02996322337744,0.200686663775988,0.384806071847801,1989,1998,9
650,"Pseudophryne_pengilleyi","Amphibia",-35.50833,148.29639,"Australasia","Temperate floodplain rivers and wetlands","Number of calling males",10,0.000583345885138709,0.000583345885138531,0.000583345885138531,0.000583345885138975,2.29270693904521e-16,1987,1997,10
651,"Pseudophryne_pengilleyi","Amphibia",-35.53222,148.77,"Australasia","Temperate floodplain rivers and wetlands","Number of calling males",10,-0.0505045968145321,-0.0505045968145321,-0.0505045968145321,-0.0505045968145321,0,1987,1997,10
674,"Pyxicephalus_adspersus","Amphibia",-25.96361,28.13778,"Afrotropical","Temperate upland rivers","Individuals",10,-0.0539269161468507,-0.0309335088674823,-0.181588951206413,-0.00487991864457804,0.0687472881899596,1992,2002,10
687,"Hippopotamus_amphibius","Mammalia",-3.5,35.75,"Afrotropical","Xeric freshwaters and endorheic basins","Number of individuals",14,0.00548298370887229,0.0208418503499111,-0.107094939987044,0.0255872573080707,0.0341784287626809,1959,1984,25
688,"Hippopotamus_amphibius","Mammalia",-9,37.5,"Afrotropical","Tropical and subtropical coastal rivers","Individuals",4,0.0309450349551801,0.0644678559728535,-0.0696234280978407,0.064467855972854,0.0670456420353472,1986,1990,4
691,"Crocodylus_niloticus","Reptilia",-8.84972,37.44889,"Afrotropical","Tropical and subtropical coastal rivers","Number of crocodiles per km",10,0.0398582931782648,-0.0174030854781242,-0.0242362597587635,0.296274110107321,0.122055583394164,1989,1999,10
